id,name,desc,type,md5,omics_id,omics_type
104,PRO000000133_EPT000000133_SCT000000133.h5ad,sct_expr,h5ad,9637aaf69ad1431ac282ebb8d89efe6c,SCT000000133,1
105,PRO000000135_EPT000000135_SCT000000135.h5ad,sct_expr,h5ad,53838c2e27ab6e82e25f7ac5053037f1,SCT000000135,1
106,PRO000000136_EPT000000136_SCT000000136.h5ad,sct_expr,h5ad,3d472046f5abb90e2f4547207aea4859,SCT000000136,1
107,PRO000000138_EPT000000138_SCT000000138.h5ad,sct_expr,h5ad,edea50574511f74dd9189455adac9f5d,SCT000000138,1
108,PRO000000139_EPT000000139_SCT000000139.h5ad,sct_expr,h5ad,f503108174293d94bda6bde16fcf3483,SCT000000139,1
109,PRO000000140_EPT000000140_SCT000000140.h5ad,sct_expr,h5ad,f92fec0683b8a969af5aee1505dd1a25,SCT000000140,1
110,PRO000000142_EPT000000142_SCT000000142.h5ad,sct_expr,h5ad,17a26357f9c86e572b3f28b8108b2fce,SCT000000142,1
111,PRO000000143_EPT000000143_SCT000000143.h5ad,sct_expr,h5ad,226d5338c6bcfc474897ac862128b933,SCT000000143,1
112,PRO000000144_EPT000000144_SCT000000144.h5ad,sct_expr,h5ad,5576e8437c1c0f01b56f885c5910b511,SCT000000144,1
113,PRO000000145_EPT000000145_SCT000000145.h5ad,sct_expr,h5ad,7e23e4e3882c2d62a8bba43d67f02ed5,SCT000000145,1
114,PRO000000146_EPT000000146_SCT000000146.h5ad,sct_expr,h5ad,dab34f1698d82bac957dcf516117f454,SCT000000146,1
115,PRO000000147_EPT000000147_SCT000000147.h5ad,sct_expr,h5ad,16b2fbdba1036ff8a7d0770c8bc867ad,SCT000000147,1
116,PRO000000148_EPT000000148_SCT000000148.h5ad,sct_expr,h5ad,13713cf9d31ff243cae01fcdc6708d8d,SCT000000148,1
117,PRO000000149_EPT000000149_SCT000000149.h5ad,sct_expr,h5ad,4c4d6365d3d13a485c969c050202e94a,SCT000000149,1
118,PRO000000150_EPT000000150_SCT000000150.h5ad,sct_expr,h5ad,f7a95fa0c9b03aa0bdfa0dbc769d1b7a,SCT000000150,1
119,PRO000000151_EPT000000151_SCT000000151.h5ad,sct_expr,h5ad,dad7bf7a5dc7ccd8616954147a14d574,SCT000000151,1
120,PRO000000152_EPT000000152_SCT000000152.h5ad,sct_expr,h5ad,b9d1e66b4620ae0ae91371afde44e380,SCT000000152,1
121,PRO000000154_EPT000000154_SCT000000154.h5ad,sct_expr,h5ad,a7f1e891b7cd3f3235a1ebd169f52ddd,SCT000000154,1
